embedding,clustering,k,alpha,mean,std
fasttext_pretrained,hac,3,0.25,0.45288000000000006,0.13362992678787688
fasttext_pretrained,hac,3,0.5,0.48216000000000003,0.11412459273384801
fasttext_pretrained,hac,3,0.75,0.51702,0.09313408255484848
fasttext_pretrained,hac,4,0.25,0.3251,0.08426704575336671
fasttext_pretrained,hac,4,0.5,0.38306,0.052425642580706616
fasttext_pretrained,hac,4,0.75,0.39712000000000003,0.04053803152596336
fasttext_pretrained,hac,5,0.25,0.2864,
fasttext_pretrained,hac,5,0.5,0.3047,
fasttext_pretrained,hac,5,0.75,0.3047,
fasttext_pretrained,hdbscan,2,0.25,0.4401,0.10103750541259418
fasttext_pretrained,hdbscan,2,0.5,0.4310777777777778,0.10260147145360267
fasttext_pretrained,hdbscan,2,0.75,0.4252888888888889,0.1050064455693607
fasttext_pretrained,kmeans,2,0.25,0.6771,0.2064799317663153
fasttext_pretrained,kmeans,2,0.5,0.67369,0.20989857047843105
fasttext_pretrained,kmeans,2,0.75,0.7177,0.14859791384807525
fasttext_pretrained,kmeans,3,0.25,0.49455,0.1617379035490582
fasttext_pretrained,kmeans,3,0.5,0.53766,0.14152296397875977
fasttext_pretrained,kmeans,3,0.75,0.5537,0.11705799132623683
fasttext_pretrained,kmeans,4,0.25,0.37964000000000003,0.02208988456284913
fasttext_pretrained,kmeans,4,0.5,0.42012,0.025599550777308584
fasttext_pretrained,kmeans,4,0.75,0.42012,0.025599550777308584
fasttext_pretrained,kmeans,5,0.25,0.4151,
fasttext_pretrained,kmeans,5,0.5,0.456,
fasttext_pretrained,kmeans,5,0.75,0.456,
fasttext_pretrained,spectral,2,0.25,0.59882,0.2315530215259084
fasttext_pretrained,spectral,2,0.5,0.60151,0.22896058588518878
fasttext_pretrained,spectral,2,0.75,0.60151,0.22896058588518878
fasttext_pretrained,spectral,3,0.25,0.41681999999999997,0.1438886205059702
fasttext_pretrained,spectral,3,0.5,0.43263999999999997,0.13798743260005802
fasttext_pretrained,spectral,3,0.75,0.43263999999999997,0.13798743260005802
fasttext_pretrained,spectral,4,0.25,0.341,0.07967587464220269
fasttext_pretrained,spectral,4,0.5,0.36978,0.08123384147016562
fasttext_pretrained,spectral,4,0.75,0.36978,0.08123384147016562
fasttext_pretrained,spectral,5,0.25,0.2445,
fasttext_pretrained,spectral,5,0.5,0.2445,
fasttext_pretrained,spectral,5,0.75,0.2444,
glove_pretrained,dbscan,2,0.25,0.3514,0.0801241358322019
glove_pretrained,dbscan,2,0.5,0.3514,0.0801241358322019
glove_pretrained,dbscan,2,0.75,0.3522625,0.07996849267948328
glove_pretrained,dbscan,3,0.25,0.213425,0.04727207597162056
glove_pretrained,dbscan,3,0.5,0.213875,0.047570044846170445
glove_pretrained,dbscan,3,0.75,0.2145,0.046335875230034594
glove_pretrained,dbscan,4,0.25,0.1741,
glove_pretrained,dbscan,4,0.5,0.169,
glove_pretrained,dbscan,4,0.75,0.169,
glove_pretrained,hac,2,0.25,0.70875,0.08968923198095369
glove_pretrained,hac,2,0.5,0.70875,0.08968923198095369
glove_pretrained,hac,2,0.75,0.70875,0.08968923198095369
glove_pretrained,hac,3,0.25,0.4871,0.14253985797351948
glove_pretrained,hac,3,0.5,0.50062,0.1284997345436082
glove_pretrained,hac,3,0.75,0.52549,0.11210719522948659
glove_pretrained,hac,4,0.25,0.3779,0.13399210797655212
glove_pretrained,hac,4,0.5,0.43942,0.13615664508205247
glove_pretrained,hac,4,0.75,0.4356,0.13626041244616868
glove_pretrained,hac,5,0.25,0.4132,
glove_pretrained,hac,5,0.5,0.4132,
glove_pretrained,hac,5,0.75,0.4132,
glove_pretrained,hdbscan,2,0.25,0.4493444444444445,0.07235964191300133
glove_pretrained,hdbscan,2,0.5,0.4493444444444445,0.07235964191300133
glove_pretrained,hdbscan,2,0.75,0.4262111111111111,0.08388099374179535
glove_pretrained,hdbscan,3,0.25,0.26975,0.09397449121969216
glove_pretrained,hdbscan,3,0.5,0.26975,0.09397449121969216
glove_pretrained,hdbscan,3,0.75,0.26975,0.09397449121969216
glove_pretrained,kmeans,2,0.25,0.75049,0.11382721262217281
glove_pretrained,kmeans,2,0.5,0.74908,0.11735699382652917
glove_pretrained,kmeans,2,0.75,0.74908,0.11735699382652917
glove_pretrained,kmeans,3,0.25,0.48497,0.21424798222827884
glove_pretrained,kmeans,3,0.5,0.55145,0.14164425116780735
glove_pretrained,kmeans,3,0.75,0.5874900000000001,0.11251093230832677
glove_pretrained,kmeans,4,0.25,0.35409999999999997,0.0979199417891984
glove_pretrained,kmeans,4,0.5,0.48136,0.09609101414804612
glove_pretrained,kmeans,4,0.75,0.50218,0.08438475573230035
glove_pretrained,kmeans,5,0.25,0.2788,
glove_pretrained,kmeans,5,0.5,0.4616,
glove_pretrained,kmeans,5,0.75,0.4822,
glove_pretrained,spectral,2,0.25,0.75841,0.121596038404035
glove_pretrained,spectral,2,0.5,0.75841,0.121596038404035
glove_pretrained,spectral,2,0.75,0.75739,0.1242823528189832
glove_pretrained,spectral,3,0.25,0.6172,0.11081414871556593
glove_pretrained,spectral,3,0.5,0.6172,0.11081414871556593
glove_pretrained,spectral,3,0.75,0.61427,0.11540455459912416
glove_pretrained,spectral,4,0.25,0.51038,0.07104119931420078
